Model,Test Accuracy (%),Precision (%),Recall (%),F1-Score (%),CV Mean (%),CV Std (%)
Random Forest,97.91666666666666,97.98460144927535,97.91666666666666,97.90472625256021,97.91754122938532,1.2996728158595765
SVM (RBF),97.22222222222221,97.27935739732474,97.22222222222221,97.23124098124099,99.13343328335833,0.7744263127967832
k-NN,99.30555555555556,99.31795634920636,99.30555555555556,99.30672197621351,98.26536731634184,1.226599395803576
